,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon,id,funded_amount,loan_amount,activity,sector,use,country_code,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date,year,month,day
2936,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1059370,1000.0,1000.0,Food Production/Sales,Food,"to buy fruits, milk and sugar, in order to sell smoothies, as well as potatoes, beans, cream cheese tortilla and oil to sell papusas and fries.",SV,USD,199.0,2016-04-22 22:08:06+00:00,2016-04-05 07:00:00+00:00,2016-05-25 17:58:23+00:00,20.0,33,#Supporting Family,female,monthly,2016-04-22,2016,April,Friday
2949,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1063227,500.0,500.0,Farming,Agriculture,to buy fertilizers and pesticides to apply to her avocado and jocote trees.,SV,USD,199.0,2016-04-30 14:47:11+00:00,2016-04-19 07:00:00+00:00,2016-05-06 21:07:06+00:00,10.0,1,volunteer_pick,female,bullet,2016-04-30,2016,April,Saturday
2796,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,923967,400.0,400.0,Food Production/Sales,Food,"to expand her food business and to buy corn, beans and meat",SV,USD,199.0,2015-07-27 20:44:53+00:00,2015-07-15 07:00:00+00:00,2015-09-03 17:49:33+00:00,14.0,14,"#Elderly, #Supporting Family, #Woman Owned Biz",female,monthly,2015-07-27,2015,July,Monday
766,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,808830,600.0,600.0,Agriculture,Agriculture,to pay the rent on the land he cultivates and purchase manure and pesticides for the land. ,SV,USD,199.0,2014-12-01 14:58:50+00:00,2014-12-01 08:00:00+00:00,2014-12-22 17:51:51+00:00,13.0,23,"#Parent, #Vegan",male,irregular,2014-12-01,2014,December,Monday
2481,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1271542,600.0,600.0,Food Market,Food,to purchase more spices to sell and also she will purchase pigs to raise and later sell.,SV,USD,199.0,2017-03-31 15:29:45+00:00,2017-03-25 07:00:00+00:00,2017-05-01 16:56:14+00:00,14.0,21,"#Repeat Borrower, #Parent, #Woman Owned Biz",female,monthly,2017-03-31,2017,March,Friday
2244,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1222434,650.0,650.0,Agriculture,Agriculture,"to buy seeds, fertilizer, and pesticide and to prepare the land for growing beans. He will also pay for labor and for renting the fields.",SV,USD,199.0,2017-01-18 21:20:49+00:00,2017-01-13 08:00:00+00:00,2017-01-26 01:38:27+00:00,11.0,21,"#Vegan, #Parent, #Job Creator, user_favorite",male,bullet,2017-01-18,2017,January,Wednesday
1556,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1030037,500.0,500.0,Pigs,Agriculture,to buy corn for selling tamales and she will buy pigs and small animals.,SV,USD,199.0,2016-02-26 19:44:30+00:00,2016-02-24 08:00:00+00:00,2016-03-09 02:48:40+00:00,14.0,12,"#Parent, #Animals, #Woman Owned Biz",female,bullet,2016-02-26,2016,February,Friday
45,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661938,1000.0,1000.0,Hardware,Retail,"to purchase construction supplies such as bricks, iron, cement, etc.",SV,USD,199.0,2014-01-26 17:01:43+00:00,2014-01-17 08:00:00+00:00,2014-02-20 00:06:45+00:00,26.0,33,#Health and Sanitation,female,monthly,2014-01-26,2014,January,Sunday
1844,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1125466,825.0,1550.0,Farming,Agriculture,"to buy fertilizers and poison for his corn and beans crops, and also to pay for labor.",SV,USD,199.0,2016-07-28 15:48:30+00:00,2016-07-22 07:00:00+00:00,,37.0,2,"#Elderly, #Repeat Borrower, #Single, #Job Creator, #Vegan",male,monthly,2016-07-28,2016,July,Thursday
1386,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,977244,1000.0,1000.0,Food Production/Sales,Food,to buy a refrigerator.,SV,USD,199.0,2015-11-11 21:00:40+00:00,2015-11-06 08:00:00+00:00,2015-12-17 19:46:30+00:00,20.0,36,"#Parent, #Biz Durable Asset",male,monthly,2015-11-11,2015,November,Wednesday
